作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书,检索原句
200307109523100080,韩国,男,200307,绿色食品与饥饿,65,65,70,49,53,286,C,如果不用化肥[C]和农药，农作物的产量又会大大降低，而现在世界上还有几亿人因缺少粮食而挨饿。
200405109523200654,韩国,女,200405,吸烟对个人健康和公众利益的影响,65,60,64,73,64,309,C,所以我认为有这样的措施的话，至少在公共场所吸烟吸得少{CJ-buy一点}，这一点对烟民有好处。{CP其次，有这个措施的话[C]，[BC。]被吸烟者就会越来越少。出现被吸烟者的原因就是烟民在公共场所吸烟{CD的}
200105550523150530,韩国,男,200105,一封写给父母的信,70,60,68,63,51,297,C,老爸您记住。
200209550523250905,韩国,女,200209,如何解决“代沟”问题,65,65,39,59,52,264,未参加,我妹妹老对我说“我真不想跟爸爸一起生活，他气死我了。
199605104523100062,韩国,男,199605,由“三个和尚没水喝”想到的……,70,60,80,65,72,332,C,这样，通过全体{CC2全}成员的努力，可以取得{CC得到}更好的成绩[C]，全体{CC2全}成员都情愿完成{CC担当}自己的任务。
200405109523201469,韩国,女,200405,吸烟对个人健康和公众利益的影响,65,60,57,68,70,303,未参加,吸烟者吸烟时会损害周围人的健康。
199610550523190057,韩国,男,199610,如何解决“代沟”问题,65,55,46,38,35,221,未参加,随[C]着人类[C]社会的发[F發]达[F達]，带来的社会问[F問]题[F題]也相当多。
200005108523200280,韩国,女,200005,关于用自然之声取代噪声的建议,70,75,83,90,72,379,B,因此为了给小孩子接触自然的感动，现代大人们一定要努力恢复自然环境。
200510111523201278,韩国,女,200510,我看流行歌曲,80,90,67,56,79,367,C,由于我们喜欢流行歌曲，带给人们的影响是怎么样呢？
200209550523150312,韩国,男,200209,如何解决“代沟”问题,65,65,66,69,62,311,C,我认识的某一个朋友，他父亲是一个从事{CD做}贸易的人{CD了}，所以经常出差到国外去，留在家里的时间不是很多。
199610550523190036,韩国,男,199610,如何解决“代沟”问题,50,50,44,32,47,201,未参加,我想那个问[C]题的发生原因就在{CQ于}两代人（父母与子女）的生活{CC活着}的时期各不相同，有一点儿差别{CC2差}。
200307204523100096,韩国,男,200307,绿色食品与饥饿,60,60,75,54,79,310,未参加,通过吃[BD，]“绿色食品”把生活健康的问[B间]题解决{CJ-buy好}是
200105550523250083,韩国,女,200105,一封写给父母的信,70,75,60,56,61,311,C,最后，女儿准备了小礼物，希望爸、妈喜欢，等明年女儿会送更好的礼物。
199705104523200130,韩国,女,199705,我的城市/乡村生活,70,65,71,56,61,309,C,小时候，看书[F書]也是一个我的爱好。
200307217523200020,韩国,女,200307,绿色食品与饥饿,65,65,56,54,50,274,未参加,绿[C]色食品是通常{CJX}人们{CD把}用未经污染的农产品加工的食品。
200405109523200667,韩国,女,200405,吸烟对个人健康和公众利益的影响,65,60,54,56,73,291,未参加,可是现在世界{CQ上}{CQ的}人都知道吸烟对身体百害[L]无益的事实。
200510111523201588,韩国,女,200510,我看流行歌曲,60,65,46,44,50,248,未参加,再说，流行歌曲是最重要的资料。
